aircraft_category,aircraft_damage,amateur_built,broad_phase_of_flight,engine_type,event_date,far_description,location,make,model,number_of_engines,purpose_of_flight,weather_condition,month,weekday,fatality,state,make_transformed,make_transformed_all,far_transformed,time_var
Airplane,Substantial,No,MANEUVERING,Reciprocating,2016-12-27,Part 91: General Aviation,"Bridgeport, AL",CESSNA,172,1.0,Personal,VMC,12,1,0,AL,cessna,cessna,Part_91_General_Aviation,0.7232985593641331
Airplane,Substantial,No,TAXI,Reciprocating,2016-12-28,Part 91: General Aviation,"Prairie Du Sac, WI",CESSNA,172B,1.0,Personal,VMC,12,2,0,WI,cessna,cessna,Part_91_General_Aviation,0.7237953303527074
Airplane,Substantial,No,APPROACH,Reciprocating,2016-12-16,Part 91: General Aviation,"Kewanee, IL",PIPER,PA28R,1.0,Personal,IMC,12,4,0,IL,piper,piper,Part_91_General_Aviation,0.7178340784898162
Airplane,Substantial,No,TAKEOFF,Reciprocating,2016-12-16,Part 91: General Aviation,"Ionia, MI",STINSON,108-3,1.0,Personal,VMC,12,4,0,MI,stinson,stinson,Part_91_General_Aviation,0.7178340784898162
Airplane,Minor,No,DESCENT,Reciprocating,2016-11-20,Part 135: Air Taxi & Commuter,"McGrath, AK",PIPER,PA 32R-300,1.0,Air_Carrier,VMC,11,6,0,AK,piper,piper,Part_135_Air_Taxi__Commuter,0.7049180327868853
Airplane,Substantial,No,LANDING,Reciprocating,2016-11-14,Part 91: General Aviation,"Lincoln, CA",CESSNA,120,1.0,Personal,VMC,11,0,0,CA,cessna,cessna,Part_91_General_Aviation,0.7019374068554396
Airplane,Substantial,No,APPROACH,Reciprocating,2016-11-11,Part 91: General Aviation,"Payallup, WA",PIPER,PA 28R,1.0,Personal,VMC,11,4,0,WA,piper,piper,Part_91_General_Aviation,0.7004470938897168
Airplane,Substantial,No,MANEUVERING,Reciprocating,2016-10-29,Part 91: General Aviation,"Dallas, TX",NORTH AMERICAN,TB 25N,2.0,Air_Race_Show,VMC,10,5,0,TX,north,north,Part_91_General_Aviation,0.6939890710382514
Airplane,Substantial,No,NOT-SPECIFIED,Reciprocating,2016-10-28,Part 91: General Aviation,"Bloomfield, NM",CIRRUS DESIGN CORP,SR22,1.0,Personal,VMC,10,4,0,NM,cirrus,cirrus,Part_91_General_Aviation,0.6934923000496771
Airplane,Substantial,No,TAKEOFF,Reciprocating,2016-10-23,Part 91: General Aviation,"Buffalo, WY",CESSNA,182Q,1.0,Personal,VMC,10,6,0,WY,cessna,cessna,Part_91_General_Aviation,0.6910084451068058
Airplane,Substantial,No,LANDING,Reciprocating,2016-10-16,Part 91: General Aviation,"Leesburg, VA",CESSNA,182,1.0,Personal,VMC,10,6,0,VA,cessna,cessna,Part_91_General_Aviation,0.6875310481867859
Airplane,Substantial,Yes,LANDING,Reciprocating,2016-10-04,Part 91: General Aviation,"Portsmouth, NH",CHAUDOIN GEORGE S,RV 10,1.0,Personal,VMC,10,1,0,NH,other,chaudoin,Part_91_General_Aviation,0.6815697963238947
Powered_Parachute,Substantial,No,TAKEOFF,Reciprocating,2016-09-24,Part 91: General Aviation,"ARCADIA, FL",SIX CHUTER INC,LEGEND XL,1.0,Personal,VMC,9,5,0,FL,other,six,Part_91_General_Aviation,0.676602086438152
Airplane,Substantial,Yes,TAKEOFF,Reciprocating,2016-09-18,Part 91: General Aviation,"Reno, NV",REBERRY BRIAN,3M1C1R,Unknown,Air_Race_Show,VMC,9,6,0,NV,other,reberry,Part_91_General_Aviation,0.6736214605067065
Airplane,Substantial,No,APPROACH,Reciprocating,2016-09-14,Part 91: General Aviation,"Parkersburg, WV",PIPER,PA 28,1.0,Instructional,VMC,9,2,0,WV,piper,piper,Part_91_General_Aviation,0.6716343765524093
Airplane,Substantial,No,APPROACH,Reciprocating,2016-09-13,Part 91: General Aviation,"Bowling Green, OH",PIPER,PA-28R-201,1.0,Instructional,VMC,9,1,0,OH,piper,piper,Part_91_General_Aviation,0.6711376055638351
Airplane,Substantial,No,NOT-SPECIFIED,Turbo_Prop,2016-09-10,Part 91: General Aviation,"Apopka, FL",BEECH,200,2.0,Personal,VMC,9,5,0,FL,beech,beech,Part_91_General_Aviation,0.6696472925981123
Airplane,Substantial,No,LANDING,Reciprocating,2016-09-08,Part 91: General Aviation,"Reserve, NM",PIPER AIRCRAFT INC,PA46R,1.0,Personal,VMC,9,3,0,NM,piper,piper,Part_91_General_Aviation,0.6686537506209638
Airplane,Substantial,No,LANDING,Reciprocating,2016-09-02,Part 91: General Aviation,"Yakutat, AK",CESSNA,180,1.0,Personal,VMC,9,4,0,AK,cessna,cessna,Part_91_General_Aviation,0.6656731246895181
Airplane,Substantial,No,APPROACH,Reciprocating,2016-08-27,Part 91: General Aviation,"New Orleans, LA",CESSNA,172,1.0,Business,VMC,8,5,1,LA,cessna,cessna,Part_91_General_Aviation,0.6626924987580726
Airplane,Substantial,No,NOT-SPECIFIED,Reciprocating,2016-08-24,Part 91: General Aviation,"Franklin, PA",CESSNA,150,1.0,Instructional,VMC,8,2,0,PA,cessna,cessna,Part_91_General_Aviation,0.6612021857923497
Airplane,Substantial,No,LANDING,Reciprocating,2016-08-24,Part 91: General Aviation,"Wichita Falls, TX",BEECH,E-55,2.0,Instructional,VMC,8,2,0,TX,beech,beech,Part_91_General_Aviation,0.6612021857923497
Airplane,Substantial,No,LANDING,Reciprocating,2016-08-13,Part 91: General Aviation,"Joseph, OR",CONSOLIDATED VULTEE,BT13,1.0,Personal,VMC,8,5,0,OR,other,consolidated,Part_91_General_Aviation,0.6557377049180327
Airplane,Substantial,No,TAKEOFF,Reciprocating,2016-07-31,Part 91: General Aviation,"Sleetmute, AK",CESSNA,U206G,1.0,Business,VMC,7,6,0,AK,cessna,cessna,Part_91_General_Aviation,0.6492796820665673
Airplane,Substantial,No,APPROACH,Reciprocating,2016-07-28,Part 91: General Aviation,"Panama City, FL",PIPER,PA28R,1.0,Instructional,VMC,7,3,0,FL,piper,piper,Part_91_General_Aviation,0.6477893691008445
Airplane,Substantial,No,NOT-SPECIFIED,Reciprocating,2016-07-17,Part 91: General Aviation,"Emmett, ID",CESSNA,172,1.0,Personal,VMC,7,6,0,ID,cessna,cessna,Part_91_General_Aviation,0.6423248882265276
Airplane,Substantial,No,TAKEOFF,Reciprocating,2016-07-04,Part 91: General Aviation,"Oak Ridge, LA",BELLANCA,7ECA,1.0,Instructional,VMC,7,0,0,LA,bellanca,bellanca,Part_91_General_Aviation,0.6358668653750621
Airplane,Substantial,No,LANDING,Reciprocating,2016-07-03,Part 91: General Aviation,"Cairo, NE",Rainbow Sky Reach,Bushcat,1.0,Instructional,VMC,7,6,0,NE,other,rainbow,Part_91_General_Aviation,0.6353700943864878
Airplane,Substantial,No,CRUISE,Reciprocating,2016-06-29,Part 91: General Aviation,"Gray, GA",CESSNA,172,1.0,Personal,VMC,6,2,0,GA,cessna,cessna,Part_91_General_Aviation,0.6333830104321908
Airplane,Substantial,No,LANDING,Reciprocating,2016-06-25,Part 91: General Aviation,"Jackson, MI",NORTH AMERICAN,SNJ,1.0,Personal,VMC,6,5,0,MI,north,north,Part_91_General_Aviation,0.6313959264778937
Helicopter,Destroyed,No,NOT-SPECIFIED,Turbo_Shaft,2016-06-23,Part 91: General Aviation,"Wikieup, AZ",ROBINSON HELICOPTER CO,R66,1.0,Positioning,VMC,6,3,1,AZ,robinson,robinson,Part_91_General_Aviation,0.6304023845007451
Airplane,Substantial,No,CRUISE,Reciprocating,2016-06-17,Part 91: General Aviation,"Goodnews Bay, AK",CESSNA,207,1.0,Positioning,IMC,6,4,0,AK,cessna,cessna,Part_91_General_Aviation,0.6274217585692996
Airplane,Substantial,No,NOT-SPECIFIED,Reciprocating,2016-06-11,Part 91: General Aviation,"Fairbanks, AK",MAULE,M 6-235,Unknown,Personal,VMC,6,5,0,AK,maule,maule,Part_91_General_Aviation,0.624441132637854
Airplane,Substantial,No,LANDING,Reciprocating,2016-06-08,Part 91: General Aviation,"Cornelia, GA",CESSNA,172,1.0,Instructional,VMC,6,2,0,GA,cessna,cessna,Part_91_General_Aviation,0.6229508196721312
Airplane,Destroyed,No,MANEUVERING,Turbo_Prop,2016-06-06,Part 137: Agricultural,"Ropesville, TX",AIR TRACTOR,AT-502,1.0,Aerial_Application,VMC,6,0,0,TX,air,air,Part_137_Agricultural,0.6219572776949827
Airplane,Substantial,Yes,LANDING,Reciprocating,2016-06-02,Part 91: General Aviation,"Prospect Heights, IL",STAUDACHER AIRCRAFT INC,S 300,1.0,Personal,VMC,6,3,0,IL,other,staudacher,Part_91_General_Aviation,0.6199701937406855
Airplane,Substantial,No,LANDING,Reciprocating,2016-05-22,Part 91: General Aviation,"Griffin, GA",BEECH,A36,1.0,Personal,VMC,5,6,0,GA,beech,beech,Part_91_General_Aviation,0.6145057128663686
Airplane,Destroyed,Yes,LANDING,Reciprocating,2016-05-17,Part 91: General Aviation,"Grass Valley, CA",VAN B ANTHONY,ZODIAC,1.0,Personal,VMC,5,1,0,CA,other,van,Part_91_General_Aviation,0.6120218579234973
Airplane,Substantial,No,CLIMB,Turbo_Prop,2016-05-12,Part 91: General Aviation,"Acampo, CA",CESSNA,208B,1.0,Skydiving,VMC,5,3,0,CA,cessna,cessna,Part_91_General_Aviation,0.6095380029806259
Airplane,Substantial,No,LANDING,Reciprocating,2016-04-28,Part 91: General Aviation,"Hayward, CA",CESSNA,152,1.0,Instructional,VMC,4,3,0,CA,cessna,cessna,Part_91_General_Aviation,0.6025832091405862
Airplane,Substantial,No,TAKEOFF,Reciprocating,2016-04-21,Part 91: General Aviation,"Sand Springs, OK",MOONEY,M20C,1.0,Personal,VMC,4,3,0,OK,mooney,mooney,Part_91_General_Aviation,0.5991058122205664
Airplane,Substantial,No,LANDING,Reciprocating,2016-04-18,Part 91: General Aviation,"Palmer, AK",PIPER,PA 18,1.0,Personal,VMC,4,0,0,AK,piper,piper,Part_91_General_Aviation,0.5976154992548435
Airplane,Destroyed,No,MANEUVERING,Turbo_Prop,2016-04-18,Part 137: Agricultural,"Kilbourne, LA",AIR TRACTOR INC,AT 502,1.0,Aerial_Application,VMC,4,0,1,LA,air,air,Part_137_Agricultural,0.5976154992548435
Airplane,Substantial,Yes,NOT-SPECIFIED,Reciprocating,2016-04-02,Part 91: General Aviation,"South Harrison Township, NJ",BUTTERHOF ANTHONY J,GINNY B,Unknown,Personal,VMC,4,5,0,NJ,other,butterhof,Part_91_General_Aviation,0.5896671634376552
Airplane,Substantial,Yes,CRUISE,Reciprocating,2016-03-27,Part 91: General Aviation,"Louisville, NE",MATHIEU,CASSUTT,1.0,Personal,VMC,3,6,0,NE,other,mathieu,Part_91_General_Aviation,0.5866865375062096
Airplane,Substantial,No,APPROACH,Reciprocating,2016-03-18,Part 91: General Aviation,"Wichita, KS",MOONEY,M20C,1.0,Personal,VMC,3,4,0,KS,mooney,mooney,Part_91_General_Aviation,0.5822155986090413
Airplane,Substantial,No,NOT-SPECIFIED,Reciprocating,2016-03-05,Part 91: General Aviation,"Canton, TX",AEROPRO CZ,A220,1.0,Personal,VMC,3,5,0,TX,other,aeropro,Part_91_General_Aviation,0.5757575757575758
Airplane,Destroyed,No,NOT-SPECIFIED,Reciprocating,2016-03-02,Part 91: General Aviation,"Palmer Lake, CO",CURTISS WRIGHT,TRAVEL AIR 4000,1.0,Personal,VMC,3,2,1,CO,other,curtiss,Part_91_General_Aviation,0.5742672627918529
Airplane,Destroyed,No,MANEUVERING,Reciprocating,2016-02-12,Part 91: General Aviation,"Destin, FL",PIPER,PA28,1.0,Personal,VMC,2,4,1,FL,piper,piper,Part_91_General_Aviation,0.5648286140089419
Airplane,NOT-SPECIFIED,No,DESCENT,Turbo_Fan,2016-01-28,Part 121: Air Carrier,"Titusville, FL",BOEING,737 7H4,2.0,Air_Carrier,VMC,1,3,0,FL,boeing,boeing,Part_121_Air_Carrier,0.5573770491803278
Helicopter,Substantial,No,TAKEOFF,Reciprocating,2016-01-24,Part 91: General Aviation,"Phoenix, AZ",ENSTROM,280,1.0,Personal,VMC,1,6,0,AZ,other,enstrom,Part_91_General_Aviation,0.5553899652260308
Airplane,Destroyed,No,CRUISE,Reciprocating,2016-01-14,Part 91: General Aviation,"Garden City, TX",PIPER,PA 22-108,1.0,Personal,VMC,1,3,1,TX,piper,piper,Part_91_General_Aviation,0.5504222553402881
Airplane,Substantial,No,LANDING,Reciprocating,2016-01-12,Part 91: General Aviation,"Dothan, AL",CESSNA,172,1.0,Instructional,VMC,1,1,0,AL,cessna,cessna,Part_91_General_Aviation,0.5494287133631396
Helicopter,Substantial,No,APPROACH,Reciprocating,2016-12-29,Part 91: General Aviation,"Mt. Baldy, CA",ROBINSON HELICOPTER COMPANY,R44 II,1.0,Personal,VMC,12,3,0,CA,robinson,robinson,Part_91_General_Aviation,0.7242921013412816
Airplane,Substantial,No,APPROACH,Reciprocating,2016-12-21,Part 91: General Aviation,"Millersburg, OH",CESSNA,175C,1.0,Personal,VMC,12,2,0,OH,cessna,cessna,Part_91_General_Aviation,0.7203179334326876
Helicopter,Substantial,No,APPROACH,Reciprocating,2016-12-15,Part 91: General Aviation,"Separ, NM",ROBINSON HELICOPTER,R44,1.0,Personal,VMC,12,3,0,NM,robinson,robinson,Part_91_General_Aviation,0.7173373075012419
Airplane,Substantial,No,LANDING,Reciprocating,2016-12-11,Part 91: General Aviation,"Anacortes, WA",BEECH,A23 24,1.0,Personal,Unknown,12,6,0,WA,beech,beech,Part_91_General_Aviation,0.7153502235469449
Airplane,Substantial,No,NOT-SPECIFIED,Reciprocating,2016-12-11,Part 91: General Aviation,"Shoreham, NY",BEECH,A36,1.0,Personal,VMC,12,6,0,NY,beech,beech,Part_91_General_Aviation,0.7153502235469449
Helicopter,Substantial,No,TAKEOFF,Turbo_Shaft,2016-11-10,Part 137: Agricultural,"Yuma, AZ",BELL,206B,1.0,Aerial_Application,VMC,11,3,0,AZ,bell,bell,Part_137_Agricultural,0.6999503229011426
Helicopter,Substantial,No,MANEUVERING,Reciprocating,2016-10-28,Part 91: General Aviation,"Asherton, TX",ROBINSON,R22 BETA,1.0,Aerial_Observation,VMC,10,4,0,TX,robinson,robinson,Part_91_General_Aviation,0.6934923000496771
Airplane,Substantial,No,LANDING,Reciprocating,2016-10-23,Part 91: General Aviation,"Arcadia, FL",PIPER,PA 20S,1.0,Ferry,VMC,10,6,0,FL,piper,piper,Part_91_General_Aviation,0.6910084451068058
Airplane,Substantial,Yes,TAKEOFF,Reciprocating,2016-10-21,Part 91: General Aviation,"Mesa, AZ",RYAN W Gross,Arion Lighting,1.0,Personal,VMC,10,4,0,AZ,other,ryan,Part_91_General_Aviation,0.6900149031296572
Airplane,Substantial,No,NOT-SPECIFIED,Reciprocating,2016-10-20,Part 91: General Aviation,"Carrollton, GA",SMITH,AEROSTAR601,2.0,Personal,VMC,10,3,0,GA,other,smith,Part_91_General_Aviation,0.6895181321410829
Airplane,Substantial,No,LANDING,Reciprocating,2016-10-19,Part 91: General Aviation,"Fresno, CA",PIPER,PA 28,1.0,Personal,VMC,10,2,0,CA,piper,piper,Part_91_General_Aviation,0.6890213611525087
Airplane,Substantial,No,NOT-SPECIFIED,Turbo_Prop,2016-10-14,Part 91: General Aviation,"Dunnellon, FL",CESSNA,208,1.0,Skydiving,VMC,10,4,1,FL,cessna,cessna,Part_91_General_Aviation,0.6865375062096374
Airplane,Substantial,Yes,TAKEOFF,Reciprocating,2016-10-05,Part 91: General Aviation,"Bellingham, WA",FULLER NEIL H,GLASAIR SH 2,1.0,Personal,VMC,10,2,0,WA,other,fuller,Part_91_General_Aviation,0.682066567312469
Airplane,Destroyed,No,NOT-SPECIFIED,Turbo_Prop,2016-10-02,Part 135: Air Taxi & Commuter,"Togiak, AK",CESSNA,208B,1.0,Air_Carrier,VMC,10,6,1,AK,cessna,cessna,Part_135_Air_Taxi__Commuter,0.6805762543467462
Airplane,Substantial,Yes,CLIMB,Turbo_Prop,2016-10-01,Part 91: General Aviation,"Iola, KS",AERO SMART SOLUTIONS INC,LANCAIR EVOLUTION,1.0,Personal,Unknown,10,5,0,KS,aero,aero,Part_91_General_Aviation,0.6800794833581719
Airplane,Substantial,No,NOT-SPECIFIED,Reciprocating,2016-09-30,Part 91: General Aviation,"Cloquet, MN",CESSNA,177RG,1.0,Personal,VMC,9,4,0,MN,cessna,cessna,Part_91_General_Aviation,0.6795827123695977
Airplane,Substantial,No,LANDING,Reciprocating,2016-09-21,Part 91: General Aviation,"East St. Louis, IL",NEW PIPER AIRCRAFT INC,PA-28R,1.0,Personal,VMC,9,2,0,IL,other,new,Part_91_General_Aviation,0.6751117734724292
Airplane,Substantial,Yes,LANDING,Reciprocating,2016-09-18,Part 91: General Aviation,"Renton, WA",JURCAN,Seawind 3000,1.0,Personal,VMC,9,6,0,WA,other,jurcan,Part_91_General_Aviation,0.6736214605067065
Airplane,Substantial,No,TAXI,Reciprocating,2016-09-18,Part 91: General Aviation,"McGrath, AK",PIPER,PA 18,1.0,Personal,VMC,9,6,0,AK,piper,piper,Part_91_General_Aviation,0.6736214605067065
Airplane,Substantial,No,TAKEOFF,Reciprocating,2016-09-03,Part 91: General Aviation,"Palmer, AK",CHAMPION,7GC,1.0,Personal,VMC,9,5,0,AK,champion,champion,Part_91_General_Aviation,0.6661698956780924
Helicopter,NOT-SPECIFIED,No,TAKEOFF,Unknown,2016-09-02,Part 91: General Aviation,"Honolulu, HI",MCDONNELL DOUGLAS HELICOPTER,500,Unknown,Public_Aircraft__Local,VMC,9,4,0,HI,mcdonnell,mcdonnell,Part_91_General_Aviation,0.6656731246895181
Airplane,Substantial,No,LANDING,Reciprocating,2016-08-29,Part 91: General Aviation,"Monett, MO",NORTH AMERICAN,NAVION,1.0,Personal,VMC,8,0,0,MO,north,north,Part_91_General_Aviation,0.6636860407352211
Airplane,Substantial,No,LANDING,Reciprocating,2016-08-10,Part 91: General Aviation,"Sandusky, MI",PIPER,J5C,1.0,Personal,VMC,8,2,0,MI,piper,piper,Part_91_General_Aviation,0.65424739195231
